model,accuracy,precision_neg,recall_neg,f1_neg,TP,TN,FP,FN,FN_cost,FP_cost,total_cost,cost_per_sample,best_threshold,total_cost@best_thr,f1_neg@best_thr,recall_neg@best_thr
LSTM,0.874,0.8157450401013085,0.96625,0.884641794460975,3865,3127,873,135,675.0,873.0,1548.0,0.1935,0.39999999999999997,1525.0,0.8779771983293826,0.97225
Transformer,0.87075,0.8101212881639481,0.9685,0.8822591664768845,3874,3092,908,126,630.0,908.0,1538.0,0.19225,0.44999999999999996,1529.0,0.8775809545300688,0.97225
TextCNN,0.844875,0.7738733373039508,0.9745,0.8626756667035521,3898,2861,1139,102,510.0,1139.0,1649.0,0.206125,0.5499999999999999,1607.0,0.8735502758698345,0.96975
MeanPooling,0.81275,0.7363945578231292,0.97425,0.8387860525182953,3897,2605,1395,103,515.0,1395.0,1910.0,0.23875,0.5499999999999999,1861.0,0.8506201295137745,0.96875
LogisticRegression__cost,0.817875,0.742421353670162,0.9735,0.8424012979989184,3894,2649,1351,106,530.0,1351.0,1881.0,0.235125,0.5499999999999999,1867.0,0.8538283062645011,0.966
LinearSVM__cost,0.877375,0.8691611640988016,0.8885,0.8787241933489924,3554,3465,535,446,2230.0,535.0,2765.0,0.345625,0.2,1891.0,0.8474909806493932,0.969
LinearSVM__f1,0.876375,0.8692666176109884,0.886,0.8775535471090752,3544,3467,533,456,2280.0,533.0,2813.0,0.351625,0.2,1903.0,0.8423789405264869,0.972
LogisticRegression__f1,0.840125,0.7778231570349193,0.95225,0.8562436776441497,3809,2912,1088,191,955.0,1088.0,2043.0,0.255375,0.39999999999999997,1935.0,0.8454396504642272,0.9675
LightGBM__cost,0.8105,0.7378399080811949,0.96325,0.8356104966384732,3853,2631,1369,147,735.0,1369.0,2104.0,0.263,0.49999999999999994,2104.0,0.8356104966384732,0.96325
LightGBM__f1,0.8105,0.7378399080811949,0.96325,0.8356104966384732,3853,2631,1369,147,735.0,1369.0,2104.0,0.263,0.49999999999999994,2104.0,0.8356104966384732,0.96325
XGBoost__f1,0.83075,0.768030794165316,0.94775,0.8484780662488809,3791,2855,1145,209,1045.0,1145.0,2190.0,0.27375,0.39999999999999997,2106.0,0.8351029252437703,0.9635
XGBoost__cost,0.81,0.737638942123419,0.96225,0.8351052288999783,3849,2631,1369,151,755.0,1369.0,2124.0,0.2655,0.49999999999999994,2124.0,0.8351052288999783,0.96225
NaiveBayes__cost,0.68425,0.6142635658914729,0.9905,0.7582775119617224,3962,1512,2488,38,190.0,2488.0,2678.0,0.33475,0.7,2223.0,0.835282544540387,0.95525
NaiveBayes__f1,0.68425,0.6142635658914729,0.9905,0.7582775119617224,3962,1512,2488,38,190.0,2488.0,2678.0,0.33475,0.7,2223.0,0.835282544540387,0.95525
