model,accuracy,precision_neg,recall_neg,f1_neg,TP,TN,FP,FN,FN_cost,FP_cost,total_cost,cost_per_sample,best_threshold,total_cost@best_thr,f1_neg@best_thr,recall_neg@best_thr
"Stacking (9-model meta-LR, cost_aware)",0.887875,0.8321558552772426,0.97175,0.896551724137931,3887,3216,784,113,565.0,784.0,1349.0,0.168625,0.5499999999999999,1349.0,0.896551724137931,0.97175
Stacking (seq-only),0.888,0.8336199484092863,0.9695,0.8964401294498382,3878,3226,774,122,610.0,774.0,1384.0,0.173,0.6,1384.0,0.8964401294498382,0.9695
SoftVoting (9-model avg),0.860875,0.7939319894115251,0.97475,0.8750981932443048,3899,2988,1012,101,505.0,1012.0,1517.0,0.189625,0.5499999999999999,1515.0,0.8868508540639688,0.967
LSTM (OOF avg),0.869375,0.808648422811782,0.96775,0.8810743143279846,3871,3084,916,129,645.0,916.0,1561.0,0.195125,0.44999999999999996,1533.0,0.8753512419916826,0.9735
Transformer (OOF avg),0.88225,0.8308091735179576,0.96,0.8907446068197634,3840,3218,782,160,800.0,782.0,1582.0,0.19775,0.35,1537.0,0.8735014005602241,0.9745
TextCNN (OOF avg),0.835625,0.7612375948628137,0.978,0.8561111719006456,3912,2773,1227,88,440.0,1227.0,1667.0,0.208375,0.6,1633.0,0.8753820033955857,0.96675
LinearSVM (OOF avg),0.877625,0.8715867158671586,0.88575,0.8786112833230006,3543,3478,522,457,2285.0,522.0,2807.0,0.350875,0.25,1875.0,0.852386726931981,0.9665
Stacking (classic-only),0.8075,0.7293920179037673,0.97775,0.8355052339243751,3911,2549,1451,89,445.0,1451.0,1896.0,0.237,0.39999999999999997,1896.0,0.8355052339243751,0.97775
MeanPooling (OOF avg),0.809375,0.7322199286920623,0.9755,0.8365312466502305,3902,2573,1427,98,490.0,1427.0,1917.0,0.239625,0.5499999999999999,1900.0,0.8480070083223828,0.968
LogisticRegression (OOF avg),0.8455,0.7840115084258118,0.95375,0.8605910218813445,3815,2949,1051,185,925.0,1051.0,1976.0,0.247,0.39999999999999997,1924.0,0.8454485920104781,0.96825
XGBoost (OOF avg),0.83575,0.7763374485596708,0.94325,0.8516930022573364,3773,2913,1087,227,1135.0,1087.0,2222.0,0.27775,0.35,2077.0,0.8293256385593674,0.97
LightGBM (OOF avg),0.811625,0.7396654489521246,0.96175,0.8362134550592327,3847,2646,1354,153,765.0,1354.0,2119.0,0.264875,0.44999999999999996,2106.0,0.8273949221250266,0.9695
NaiveBayes (OOF avg),0.681875,0.6124246638850255,0.99075,0.7569477604813294,3963,1492,2508,37,185.0,2508.0,2693.0,0.336625,0.65,2237.0,0.8162964522581324,0.96925
